Symbols;MLAGNNImp
PTGS2;0.2641908573424649
LCAT;0.24691422722878226
PLA2G12A;0.23547459256166764
GGT1;0.22587781134021245
LPCAT3;0.21579736358096582
ACOT8;0.195805266604292
PLA2G6;0.17870099596866462
LTB4R;0.17784476935090932
PTGER4;0.17481486931982487
CYSLTR1;0.16974732759706387
GPX4;0.16337144234947643
PRXL2B;0.16285363279827803
PTGER2;0.1578539462427217
PNPLA8;0.14829705347710057
ACSL6;0.1369047205110612
LIPA;0.13528951565435754
PTGDR;0.13406304589894666
ACOT7;0.13181059446504967
MBOAT7;0.13030296218020243
PTGDS;0.12978784913413452
AGPAT5;0.12977016424058155
PTGIR;0.12963278216379248
GGT5;0.12874320699648673
DPEP2;0.12286299314175689
MGLL;0.12133290973299611
CYP4F8;0.11649931008941021
LPCAT2;0.11404813627222023
PTGR2;0.11339260034377263
CBR1;0.112454558200736
LPCAT1;0.10752083482992755
ABCC11;0.10724031087408749
ABCC1;0.10255177791047301
PNPLA2;0.10046662375834829
CYP4F22;0.10020882290722297
ACOT2;0.09958410738157417
ELOVL5;0.09450474031069188
AKR1B1;0.09300266801051184
ACAD9;0.09151900012230914
ALOX15B;0.08743872386535768
FADS1;0.08585679596096851
DAGLB;0.08342120456680381
TBXA2R;0.08223591039535187
ABCC6;0.08109303123797537
ABCC10;0.08064977357350514
ACOX1;0.07961992024229775
PLB1;0.07909887327640903
PLA2G4C;0.07854314419094653
PAFAH2;0.07738761621599975
CYP2D6;0.07697608076207858
SOAT1;0.07631144664886433
ABCC3;0.07591790921198639
ALOX12;0.07562792091068006
AKR1C3;0.07560135687181299
PTGFR;0.0751563332316829
PLAAT3;0.07483864871630891
ALOX5AP;0.07390338607727805
AKR1A1;0.07383256768333311
DPEP3;0.07332535026242225
AOPEP;0.07202356224310008
PTGES;0.07052394106087248
AGPAT4;0.07018798032463569
DAGLA;0.0695156824226671
PTGR1;0.06562804462217191
PTGS1;0.06446870566498178
LTC4S;0.06367944191165807
PTGES3;0.06329074936158559
ACSL1;0.06190568367655705
ACOT11;0.05896529209017676
ACAT1;0.05692676907987302
ACOT13;0.056551534264092
RNPEP;0.0562971939907666
AGPAT2;0.05625078453888288
CYSLTR2;0.05623300040093545
ACSL5;0.055737630171692316
TBXAS1;0.05514570491013618
CBR3;0.054582442225342434
MAPKAPK2;0.051659227704725814
FADS2;0.049914793909366845
GGT7;0.049235626749226435
ABCC2;0.04892581941064219
CYP2U1;0.04890684971326068
CYP1B1;0.047192340628069464
LTA4H;0.04689722745347137
ACSL3;0.04434169455097425
HPGD;0.04088659960179896
MGST3;0.04033515304051823
ACSL4;0.03864809491562714
ACOT1;0.03762797064266981
RNPEPL1;0.037202104957603316
OXER1;0.0368541621475424
GPX3;0.036470375911995215
EPHX2;0.0363734849948951
ABCC4;0.034319330636443095
PLA2G4B;0.033707268905020564
PLA2G4A;0.0331800443421539
MGST2;0.028976420162187627
PTGES2;0.028698537768661114
LIPE;0.026959127498260595
ALOX5;0.025776013205556766
LTB4R2;0.025646682879942824
AKR1C1;0.025539321545961398
CYP4F3;0.025088401672155796
GPX7;0.019449252794399144
